Supplier,Description,Type,Colors,Rating
XYZPrinting,"XYZprinting ABS Plastic Filament Cartridge, 1.75 mm Diameter, 600g",ABS,"Black, purple, red, blue, green, yellow, white, nature, olivine, purpirin, tangerine, viridity, violet",3.6/5
Supplies3D,3D Filament Printer Spool 3mm 1kg (2.2 lbs),PLA,"Blue, white, black, yellow, red",2.6/5
Supplies3D,3D Filament Printer Spool 3mm 1kg (2.2 lbs),ABS,"Blue, white, black, yellow, red",2.6/5
Supplies3D,3D Filament Printer Spool 1.75mm 1kg (2.2 lbs),ABS,"Blue, white, black, yellow, red",2.6/5
Supplies3D,3D Filament Printer Spool 1.75mm 1kg (2.2 lbs),PLA,"Blue, white, black, yellow, red",2.6/5
Filament Outlet,Filament Outlet Plastic 1.75mm 3D Printer Filament 1kg (2.2lbs) spool USA,PLA,"Blue, white, blue, green, red, orange, grey, yellow, natural, purple, brown, pink",4.3/5
Filament Outlet,Filament Outlet Plastic 1.75mm 3D Printer Filament 1kg (2.2lbs) spool USA,HIPS,Natural,4.3/5
Filament Outlet,Filament Outlet Plastic 1.75mm 3D Printer Filament 1kg (2.2lbs) spool USA,ABS,"Blue, white, blue, green, red, orange, grey, yellow, natural, purple, brown, pink",4.3/5
Filament Outlet,Filament Outlet Plastic 1.75mm 3D Printer Filament 1kg (2.2lbs) spool USA,PC,Natural,4.3/5
HATCHBOX,HATCHBOX 1.75mm 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.05mm,ABS,"Blue, white, orange, green, silver, red, black, purple, yellow, Glow in the Dark, gold, pink",4.4/5
HATCHBOX,HATCHBOX 1.75mm 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.05mm,PLA,"Blue, white, orange, green, silver, red, black, purple, yellow, Glow in the Dark, gold, pink",4.4/5
HATCHBOX,HATCHBOX 1.75mm Transparent 3D Printer Filament - 0.45kg Spool (1.0 lbs) - Dimensional Accuracy +/- 0.05mm...,PLA,"Transparent Blue, Transparent red, Transparent white, Glow in the Dark, Transparent black",4.4/5
HATCHBOX,HATCHBOX 1.75mm Transparent 3D Printer Filament - 0.45kg Spool (1.0 lbs) - Dimensional Accuracy +/- 0.05mm...,ABS,"Transparent Blue, Transparent red, Transparent white, Glow in the Dark, Transparent black",4.4/5
HATCHBOX,HATCHBOX 3.00mm 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.05mm,PLA,"White, black",4.4/5
HATCHBOX,HATCHBOX 3.00mm 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.05mm,ABS,"White, black",4.4/5
HATCHBOX,HATCHBOX 1.75mm 3D Printer Filament - 0.45kg Spool (1.0 lbs) - Dimensional Accuracy +/- 0.05mm,HIPS,Natural,4.4/5
HATCHBOX,HATCHBOX 1.75mm HIPS for PLA 3D Printer Filament - 1kg Spool (2.2 lbs) - Dimensional Accuracy +/- 0.05mm,HIPS,Natural,4.4/5
SainSmart,"SainSmart 1.75mm Filament 1kg/2.2lb for 3D Printers Reprap, MakerBot Replicator 2, Afinia, Solidoodle",ABS,"Black, white, purple, blue, red, yellow, green, pink",4.2/5
SainSmart,"SainSmart 1.75mm Filament 1kg/2.2lb for 3D Printers Reprap, MakerBot Replicator 2, Afinia, Solidoodle",PLA,"Black, white, purple, blue, red, yellow, green, pink",3.9/5
IC3D,IC3D 3mm 3D Printer Filament 2lb - MADE IN USA,ABS,"Black, natural, red, blue, green, orange",4.8/5
IC3D,IC3D 1.75mm 3D Printer Filament 2lb - MADE IN USA,ABS,"Black, natural, blue, green, red, orange",4.8/5
